Debagarh,Baudh,Gajapati,Jharsuguda,Subarnapur,Nuapada,Malkangiri  ,Kandhamal,Nayagarh  ,Rayagada  ,Sambalpur,Jagatsinghapur ,Dhenkanal,Nabarangapur ,Anugul  ,Koraput,Kendrapara ,Bargarh,Bhadrak,Kalahandi,Balangir,Puri,Kendujhar,Jajapur  ,Sundargarh,Khordha ,Baleshwar,Mayurbhanj,Cuttack,Ganjam
312520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,0,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,0,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,0,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,0,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,0,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,0,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,0,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,0,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,0,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,2251673,0,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,2251673,2320529,0,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,2251673,2320529,2519738,0,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,2251673,2320529,2519738,2624470,0
312520,441162,577817,579505,610183,610382,613192,733110,962789,967911,1041099,1136971,1192811,1220946,1273821,1379647,1440361,1481255,1506337,1576869,1648997,1698730,1801733,1827192,2093437,2251673,2320529,2519738,2624470,3529031
