District In Odisha;Population
Ganjam;3.529.031
Cuttack;2.624.470
Mayurbhanj;2.519.738
Baleshwar;2.320.529
Khordha ;2.251.673
Sundargarh;2.093.437
Jajapur  ;1.827.192
Kendujhar;1.801.733
Puri;1.698.730
Balangir;1.648.997
Kalahandi;1.576.869
Bhadrak;1.506.337
Bargarh;1.481.255
Kendrapara ;1.440.361
Koraput;1.379.647
Anugul  ;1.273.821
Nabarangapur ;1.220.946
Dhenkanal;1.192.811
Jagatsinghapur ;1.136.971
Sambalpur;1.041.099
Rayagada  ;967.911
Nayagarh  ;962.789
Kandhamal;733.110
Malkangiri  ;613.192
Nuapada;610.382
Subarnapur;610.183
Jharsuguda;579.505
Gajapati;577.817
Baudh;441.162
Debagarh;312.520
