STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,0.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,1.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,1.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,0.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,0.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SYC,Seychelles,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,0.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SRB,Serbia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,2.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,8.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,7.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,7.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,8.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,8.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,8.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,8.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,8.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SEN,Senegal,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,8.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
