REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MEASURE_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.8,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.6,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.5,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.5,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.5,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.4,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.4,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.4,PS,Persons,6,Millions,Normal value,Public
ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.3,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,17.2,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,17.2,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,17.4,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,19.0,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,19.2,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,19.7,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,20.1,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,19.6,PS,Persons,6,Millions,Normal value,Public
DZA,Algeria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,18.4,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,18.2,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,20.3,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,21.6,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,23.3,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,24.5,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,25.4,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,26.4,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,27.4,PS,Persons,6,Millions,Normal value,Public
AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,28.4,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,1.5,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,1.5,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,1.6,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,1.6,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,1.6,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,1.6,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,1.7,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,1.4,PS,Persons,6,Millions,Normal value,Public
ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,1.3,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.9,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.9,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,1.0,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,1.0,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.9,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.9,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.8,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.9,PS,Persons,6,Millions,Normal value,Public
AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.9,PS,Persons,6,Millions,Normal value,Public
AUT,Austria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.2,PS,Persons,6,Millions,Normal value,Public
AUT,Austria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.2,PS,Persons,6,Millions,Normal value,Public
AUT,Austria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.2,PS,Persons,6,Millions,Normal value,Public
AUT,Austria,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.2,PS,Persons,6,Millions,Normal value,Public
