REF_AREA_LABEL,Value_2017,Value_2025,Absolute_Change,Percentage_Change
Nigeria,137.5,191.2,53.69999999999999,39.05454545454545
Pakistan,132.4,160.7,28.299999999999983,21.374622356495454
Ethiopia,72.0,92.0,20.0,27.77777777777778
"Congo, Dem. Rep.",83.4,101.7,18.299999999999997,21.94244604316546
Angola,18.2,28.4,10.2,56.043956043956044
Tanzania,41.6,51.5,9.899999999999999,23.79807692307692
Kenya,34.3,43.9,9.600000000000001,27.988338192419832
"Iran, Islamic Rep.",25.4,34.5,9.100000000000001,35.82677165354332
Mozambique,24.2,32.5,8.3,34.29752066115703
Uganda,31.0,37.8,6.799999999999997,21.935483870967733
Madagascar,22.1,27.9,5.799999999999997,26.2443438914027
Niger,18.6,24.0,5.399999999999999,29.03225806451612
Malawi,15.4,20.6,5.200000000000001,33.766233766233775
Syrian Arab Republic,11.0,15.6,4.6,41.81818181818181
Zambia,14.4,18.9,4.499999999999998,31.24999999999999
Cameroon,12.3,16.5,4.199999999999999,34.14634146341463
Iraq,9.2,13.2,4.0,43.47826086956522
"Egypt, Arab Rep.",41.7,45.5,3.799999999999997,9.112709832134284
Mali,11.7,15.3,3.6000000000000014,30.76923076923078
Chad,10.5,14.0,3.5,33.33333333333333
Ghana,20.2,23.1,2.900000000000002,14.356435643564366
Lebanon,0.0,2.7,2.7,
Burundi,10.4,13.1,2.6999999999999993,25.961538461538453
South Africa,35.1,37.5,2.3999999999999986,6.837606837606833
Burkina Faso,13.6,15.8,2.200000000000001,16.176470588235304
Germany,2.3,4.5,2.2,95.6521739130435
Haiti,8.4,10.6,2.1999999999999993,26.19047619047618
South Sudan,9.4,11.4,2.0,21.27659574468085
Guinea,5.8,7.6,1.7999999999999998,31.034482758620683
Colombia,17.7,19.2,1.5,8.474576271186441
Guatemala,7.5,8.8,1.3000000000000007,17.333333333333343
Algeria,17.2,18.4,1.1999999999999993,6.976744186046507
"Congo, Rep.",3.9,5.0,1.1,28.20512820512821
Sri Lanka,7.1,8.1,1.0,14.084507042253522
France,1.5,2.4,0.8999999999999999,60.0
Sierra Leone,4.8,5.5,0.7000000000000002,14.583333333333337
Central African Republic,4.1,4.8,0.7000000000000002,17.073170731707325
Ecuador,4.0,4.7,0.7000000000000002,17.500000000000004
Peru,11.3,12.0,0.6999999999999993,6.194690265486719
Mauritania,2.1,2.7,0.6000000000000001,28.571428571428577
Namibia,1.1,1.5,0.3999999999999999,36.36363636363635
Gabon,0.7,1.0,0.30000000000000004,42.85714285714287
Lesotho,1.5,1.8,0.30000000000000004,20.000000000000004
Slovak Republic,1.2,1.5,0.30000000000000004,25.000000000000007
West Bank and Gaza,0.2,0.5,0.3,149.99999999999997
Equatorial Guinea,0.9,1.2,0.29999999999999993,33.33333333333333
Israel,1.9,2.1,0.20000000000000018,10.526315789473696
Tunisia,0.9,1.1,0.20000000000000007,22.22222222222223
