Rank,REF_AREA,REF_AREA_LABEL,OBS_VALUE,% of Global
1,IND,India,520.1,20.95
2,IDN,Indonesia,195.9,7.89
3,NGA,Nigeria,191.2,7.7
4,PAK,Pakistan,160.7,6.47
5,CHN,China,160.4,6.46
6,COD,"Congo, Dem. Rep.",101.7,4.1
7,ETH,Ethiopia,92.0,3.71
8,BGD,Bangladesh,67.8,2.73
9,PHL,Philippines,52.6,2.12
10,TZA,Tanzania,51.5,2.07
11,EGY,"Egypt, Arab Rep.",45.5,1.83
12,BRA,Brazil,44.8,1.8
13,KEN,Kenya,43.9,1.77
14,UGA,Uganda,37.8,1.52
15,ZAF,South Africa,37.5,1.51
16,IRN,"Iran, Islamic Rep.",34.5,1.39
17,MOZ,Mozambique,32.5,1.31
18,AGO,Angola,28.4,1.14
19,MDG,Madagascar,27.9,1.12
20,MEX,Mexico,26.4,1.06
